code,iso,country,region,B.1.1.1,B.1.1.2,B.1.1.3,B.1.1.4,B.1.2.1,B.1.2.2,B.1.2.3,B.1.2.4,B.1.2.5,B.1.3.1,B.1.3.2,B.1.3.3,B.1.3.4,B.1.3.5,B.1.4.1,B.1.4.2,B.1.4.3,B.1.4.4,B.1.5.1,B.1.5.2,B.1.5.3,B.1.5.4,B.1.6.1,B.1.6.2,B.1.6.3,B.2.1.1,B.2.1.2,B.2.2.1,B.2.2.2,B.2.3.1,B.2.3.2,B.2.3.3,B.2.3.4,B.2.4.4,B.2.4.5,B.2.4.6,B.2.4.8,B.2.4.9,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.3.1,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.3,B.3.5.4,B.3.5.5,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
780,TTO,Trinidad and Tobago,Latin America and The Caribbean,92.25,70.45,84.65,82.04,96.68,98.76,99.97,99.97,75.32,83.08,57.84,3.41,92.39,72.43,79.69,98.48,87.98,77.25,75.71,1.69,45.73,77.47,43.25,57.51,0,16.72,91.4,93.37,72.31,81.95,100,21.49,4.44,10.5,99.65,95.35,3.97,6.03,78.17,99.9,81.06,0,0,94.11,36.4,31.5,30.3,100,1.01,97.9,3.12,75.94,89.6,100,55.7,3.2,71.63,68.09,92.2,90.13,52.6,82.35,94.14,61.83,66.54,50.15,33.59,54.06,55.23,51.97,23.95,51.83,58.46,34.01,56.58,46.99,67.29,46.12,27.23,48.92
784,ARE,United Arab Emirates,Middle East and North Africa,100,91.92,94.8,98.6,100,100,100,100,54.01,99.53,100,90.24,90.91,81.12,80.87,90.93,96.91,71.81,79.61,1.55,26.79,82.11,45.71,71.1,41.8,85.11,91.84,95.67,61.85,30.6,60.2,56.81,0.21,21.11,10.61,26.33,21.37,28.8,57.37,100,15.77,0,0,89.3,25.2,100,100,100,100,99.94,0,50.63,100,100,66.7,76.8,68.41,67.1,8.9,81.3,76.8,96.33,90.8,92.36,67.17,47.51,52.87,88.47,52.51,36.96,12.02,34.63,82.9,66.65,66.08,33.4,76.51,50.7,33.97,56
788,TUN,Tunisia,Middle East and North Africa,95.16,69.3,85.26,96.73,93.35,95.05,99.72,99.94,62.94,70.72,79.7,85.78,83.27,93.32,59.66,81.63,89.67,8.4,67.9,1.62,59.45,86.08,35.78,55.28,19.16,92.19,87.34,89.67,30.49,40.98,22.72,55.71,13.74,95.57,9.98,2.08,5.99,37.92,61.41,99.8,23.39,0,61,95.69,16,61.8,100,99.84,13.18,94.45,0.37,97.16,81.1,91,77.3,43,27.8,48.88,4.1,90.9,58.4,86.61,90.2,82.56,57.74,53.76,36.74,89.76,40.05,33.29,16.84,49.12,74.67,36,59.62,30.68,70.55,48.66,29.87,51.78
792,TUR,Turkey,Europe and Central Asia,98.31,88.2,92.26,84.89,97.07,66.93,100,100,41.94,84.77,58.57,78.74,68.7,96.68,87.11,88.89,94,74.08,75.71,4.76,37.28,98.01,28.63,51.27,59.69,81.34,96.84,92.87,93.22,64.6,54.29,72.12,7.67,68.29,3.37,85.86,90.49,4.06,53.17,99.39,30.79,50.72,38.5,98.82,35.6,53.6,47.5,97.82,3.06,94.15,3.15,92.81,76.2,82.8,85.2,30.4,45.57,39.85,10.9,87,44.3,90.92,81.19,77.49,67.5,53.94,46.53,89.09,62.03,49.67,28.01,54.51,66.67,33.45,59,28.44,71.5,59.62,29.12,55.22
795,TKM,Turkmenistan,Europe and Central Asia,99.52,35.8,59.78,85.25,91.39,48.51,100,100,100,72.93,85.66,92.59,100,84.09,68.11,83.67,59.58,49.79,67.9,2.22,34.26,98.01,36.74,62.63,48.07,87.79,87.09,82.32,48.85,33.4,28.67,32.14,20.07,1.01,2.09,2.52,2.74,24.56,81.07,100,36.01,55.05,0,98.4,98.1,58,100,80.28,100,99.61,0.23,91.67,83.2,53.8,35.8,9.8,27.99,51.5,2.7,96.4,67.1,70.09,87.98,87.05,52.84,50.6,49.15,87.44,43.72,28.57,3.66,54.43,86.96,66.62,43.18,33.24,67.82,44.56,38.76,52.13
8,ALB,Albania,Europe and Central Asia,98.55,81.9,92.57,88.47,97.07,100,100,100,60.71,18.32,53.26,98.63,62.03,89.19,73.06,92.67,94.78,94.59,46.44,11.81,39.38,56.93,12.51,46.04,67.86,82.59,91.23,99.68,65.72,24.85,16.77,21.03,4.33,15.14,15.28,9.52,3.44,20.14,85.48,70.44,55.6,0,58.3,89.2,41.1,70.2,54.4,99.04,0.5,90.21,10.65,95.67,34.6,100,100,2.7,32.59,55.57,38.6,82.1,39.6,90.37,91.56,64.28,65.13,38.64,42.14,86.91,55.13,16.74,7.06,53.96,70.79,33.79,52.22,32.06,67.75,46.04,29.79,49.85
800,UGA,Uganda,Sub-Saharan Arica,54.96,46.11,55.92,21.97,61.02,68.37,28.28,39.37,98.31,100,93.62,94.9,95.04,88.22,23.56,52.89,73.41,15.19,19.12,35.59,15.99,80.12,90.33,79.23,86.34,96.14,77.28,68.41,47.71,36.56,33.53,21.06,4.1,5.54,71.48,12.52,89.75,5.41,45.52,0.75,43.85,73.96,93.3,99.99,20.1,59.2,66.6,100,0.18,14.47,1.04,99.87,11.3,46,42.9,0.4,1.28,54.06,37.3,86.8,53.8,44.74,59.07,94.36,37.46,37.71,85.3,86.71,38.71,23.81,20.52,51.47,69.18,5.23,28.82,35.58,58.48,46.67,23.73,44.51
804,UKR,Ukraine,Europe and Central Asia,98.06,89.06,93.89,86.5,85.12,0,85.75,100,59.52,0,32.93,100,81.4,22.41,77.26,27.91,69.05,27.43,64,6.88,35.08,64.21,18.7,60.85,36.23,85.3,96.64,95.97,66.66,74.12,62.08,27.33,43.54,91.92,16.9,28.87,13.24,25.63,82.87,96.14,52.33,40.8,42.5,97.3,25.2,62.7,86.9,98.41,1.81,88.54,1.36,95.75,51.1,64.9,88.4,14.1,33.98,49.43,17.5,84.2,43,91.88,66.08,47.35,43.56,42.54,38.59,90.97,54.21,51.77,19.62,62.93,74.1,30.57,49.75,28.94,57.7,56.47,31.63,49.51
818,EGY,Egypt,Middle East and North Africa,95.88,71.59,81.81,65.18,97.85,60.4,100,92.88,98.03,75.91,80.67,80.69,83.73,94.32,77.54,96.15,29.35,27.5,64,0.38,13.84,90.06,54.25,84.91,32.32,78.37,87.78,85.53,73.16,41.35,0,55.6,7.22,89.47,14.4,96.51,15.96,5.08,0.35,100,24.47,15.61,60.4,96.39,61.1,100,50.6,99.91,100,98.85,0,62.33,85,54.3,58.4,42,25.32,49.82,10.6,97,77.1,78.62,89.83,83.06,50.76,42.07,57.16,83.08,52.9,26.04,24.6,40.17,81.6,66.28,46.76,36.94,68.58,50.46,34.82,53.02
826,GBR,United Kingdom,Europe and Central Asia,99.52,95.36,98.05,93.86,98.64,91.98,99.98,100,19.05,80.75,23.15,97.29,28.22,67.16,96.82,95.89,98.05,72.43,100,1.58,87.96,88.07,7.39,13.18,43.34,71.9,95.05,96.37,62.98,51.35,60.35,84.58,95.03,3.94,95.21,3.99,20.31,10.08,95.04,100,68.66,26.5,35.1,90.58,24,72.8,60.6,100,0.66,100,2.46,83.79,100,100,100,98.5,100,69.47,50.7,92.1,44.7,96.7,81.93,59.31,72.69,69.4,21.3,83.47,53.12,72.83,14.84,65.06,69.6,34.38,83.18,37.5,70.07,56.22,31.98,54.49
84,BLZ,Belize,Latin America and The Caribbean,96,80.18,89.93,54.37,94.92,95.05,100,96.47,59.13,95.28,88.24,62.05,88.32,78.64,42.67,90.93,94.92,66.45,56.2,27.03,53.46,60.24,55.85,51.16,43.1,83.55,93.54,97.87,63.19,60.35,27.48,40.47,12.8,2.43,12.66,98.63,81.86,22.49,79.53,87,54.95,0,63.2,86.55,21.4,39.4,44.2,100,0.07,97.01,46.35,84.25,37.1,22.7,0,0.6,25.03,51.05,98.6,35.9,57.2,80.12,89.11,82.5,57.13,49.23,50.04,88.55,53.69,35.27,24.23,56.93,58.31,47.81,24.24,38.34,69.85,53.91,30.8,53.35
840,USA,United States of America,North America,98.06,92.78,95.82,90.07,99.62,95.87,99.99,100,15.56,74.05,43.83,80.76,14.78,43.62,70.35,86.86,87.86,68.94,95.22,1.41,100,88.07,15.32,9.84,33.62,59.98,97.5,96.07,74.85,87.88,72.35,96.9,100,97.1,89.35,90.87,1.77,98.03,98.83,99.9,43.85,43.08,4.5,97.41,23.2,59.3,59,99.45,1.82,99.62,9.86,91.55,98,100,100,58.9,96.43,6.54,15.8,83.9,58.2,94.18,82.21,51.41,61.27,71.17,19.59,78.74,56.97,89.28,41.9,58.03,67.67,37.1,77.84,31.58,66.89,65.58,30.69,55.64
854,BFA,Burkina Faso,Sub-Saharan Arica,61.62,29.21,13.58,31.54,91,75.25,0,80.89,99.56,97.35,94.43,91.55,95.37,77.06,19,13.1,78,17.73,9.37,49.63,34.62,84.1,95.03,93.37,70.11,81.46,82.97,69.93,66.37,6.12,1.09,0,0,23.26,14.56,16.03,20.47,15.51,54.87,4.3,36.45,0,79.7,99.59,100,65.7,43.9,89.79,0.75,2.44,0.7,98.92,6.2,47.7,33.5,0,0.51,54.1,35.1,85.6,53,33.99,69.34,91.15,27.53,44.43,86.17,82.22,45.43,1.8,9.98,35.06,79.8,1.3,26.69,34.74,57.71,40.33,21.47,41.62
858,URY,Uruguay,Latin America and The Caribbean,98.31,91.35,95.21,61.36,93.35,88.86,99.97,100,30.44,72.92,19.44,78.36,6.92,23.92,64.44,87.73,69.43,76.96,87.41,1.5,93.19,86.08,34.82,19.64,57.55,80.57,94.62,93.68,79.94,19.81,40.56,56.95,32.57,94.74,15.15,82.82,13.45,7.04,96.52,97.66,68.22,37.38,21,96.63,16.7,81.6,38,100,0.45,99.04,30.61,86.14,64.6,54.7,18.1,2.1,47.19,74.3,6.6,72.2,52,86.56,82.52,40.31,55.4,67.05,37.34,87.59,57.87,37.47,23.69,64.16,66.59,43.37,38.98,26.16,64.42,54.88,32.92,52.11
860,UZB,Uzbekistan,Europe and Central Asia,96.85,75.03,84.75,84.84,87.08,67.82,100,98.74,96.6,70.1,93,85.68,96.91,74.9,73.12,77.28,92.11,33.09,73.76,8.34,29.96,92.05,35.03,80.23,52.34,75.03,85.34,91.3,64.18,80.69,100,26.37,23.29,10.77,21.83,19.99,0.06,18.28,72.79,90.04,26.87,0,43.2,97.17,72.2,52.2,56,82.53,41.82,95.94,0.53,83.38,32.8,68.5,73.2,0,2.54,50.39,1.7,75.2,65.9,85.37,90.05,84.12,60.63,51.03,55.87,80.19,51.83,57.59,7.88,46.58,72.02,46.1,37.2,28.56,72.91,50.39,30.75,53.51
887,YEM,Yemen,Middle East and North Africa,80.51,26.92,43.13,61.2,90.8,87.62,87.33,62.4,99.8,85.56,99.78,98.96,86.65,83.47,23.64,48.82,78.33,19.59,13.27,33.64,31.43,46.32,73.57,77.11,58.86,92.08,83.15,67.83,69.86,18.75,16.82,0.2,0.18,74.7,97.44,79.57,77.94,94.23,45.57,75.62,32.96,57.22,82.47,99.08,62.7,49.13,47.03,100,19.69,24.73,0.04,99.84,12.57,55.3,48.67,0,4.64,53.98,24.57,91.57,55.7,52.94,85.59,90.89,37.7,31.17,69.85,87.62,45.9,8.99,47.1,58.77,71.59,14.82,31.57,34.37,61.68,53.1,27.43,48.83
894,ZMB,Zambia,Sub-Saharan Arica,74.58,36.66,39.78,19.71,34.97,81.02,59.68,28.26,92.99,97.39,96.97,91.31,94.54,77.79,48.55,27.62,91.93,40.86,34.73,63.06,25.71,70.18,93.96,80.45,80.89,45.89,77.39,90.16,77.32,18.36,16.23,25.16,15.59,97.61,93.29,79.03,83.59,9.84,74.05,18.42,43.41,53.32,70.5,95.92,27.6,61.6,63.8,2.64,0.22,33.87,5.39,96.61,12.5,0,45.1,4.2,2.37,50.51,68.6,91.8,65.8,42.68,59.38,91.6,42.03,48.42,85.1,61.64,55.83,18.84,40.37,51.94,50.31,13.16,22.97,45.24,60.14,47.22,21.98,44.82
96,BRN,Brunei Darussalam,East Asia and Pacific,96.61,86.2,90.84,95.81,87.67,76.07,99.98,100,81.97,88.98,75.28,54.73,78.01,95.52,84.95,100,98.32,74.41,89.37,1.67,26.23,100,8.17,17.71,48.43,9.45,77.18,94.57,55.73,47.77,6.5,54.03,8.66,18.43,11.25,1.34,97.33,12.89,100,98.98,77.15,0,0,99.15,34.4,56.07,39.83,100,0.12,99.81,22.83,90.68,75.8,9.5,74,6,90.45,77.64,12.7,85.93,58.8,92.37,89.14,78.51,70.82,54.32,24.77,43.31,50.1,29.24,15.69,55.23,65.89,40.92,49.49,31.49,71.19,35.33,30.5,48.23
