code,iso,country,region,B.1.1.1,B.1.1.2,B.1.1.3,B.1.1.4,B.1.2.1,B.1.2.2,B.1.2.3,B.1.2.4,B.1.2.5,B.1.3.1,B.1.3.2,B.1.3.3,B.1.3.4,B.1.3.5,B.1.4.1,B.1.4.2,B.1.4.3,B.1.4.4,B.1.5.1,B.1.5.2,B.1.5.3,B.1.5.4,B.1.6.1,B.1.6.2,B.1.6.3,B.2.1.1,B.2.1.2,B.2.2.1,B.2.2.2,B.2.3.1,B.2.3.2,B.2.3.3,B.2.3.4,B.2.4.4,B.2.4.5,B.2.4.6,B.2.4.8,B.2.4.9,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.3.1,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.3,B.3.5.4,B.3.5.5,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
686,SEN,Senegal,Sub-Saharan Arica,62.23,40.38,56.43,53.59,77.28,86.39,86.22,42.64,97.29,98.3,94.1,88.71,91.02,82.78,40.01,45.63,92.91,47.89,19.12,31.2,11.48,84.1,92.78,85.35,58.62,99.5,80.3,92.97,72.03,44.76,22.29,34.81,0,11.64,10.51,30.34,85.98,29.96,57.64,20.66,46.02,49.25,82.4,92.14,22.7,46.4,61.1,99.97,0.99,69.45,1.87,98.61,12.3,52.9,46.2,0.5,3.07,50.67,38.9,97,53.1,53.16,77.96,90.98,44.64,36.48,78.92,89.9,55,25.46,18.71,51.2,64.46,24.1,30.51,37.8,63.29,51.52,26.32,48.67
688,SRB,Serbia,Europe and Central Asia,98.91,94.22,97.04,92.67,97.46,95.05,99.65,100,0.06,18.34,4.79,58.41,35.18,62.08,84.9,94.12,97.54,100,58.15,16.09,53.41,76.14,11.34,62.19,53.76,98.56,86.23,88.53,65.8,63.83,27.59,45.63,26.2,0.03,5.07,8.73,7.12,17.8,77.4,75.72,60.82,25.36,23.1,97.22,44.5,58.8,56.6,91.76,7.41,90.49,1.32,95.25,38.7,78.8,99.2,1.7,41.59,49.69,31.4,86.7,42.8,95.71,78.44,35.76,69.14,50.95,42.43,92.39,51.44,40.81,4.31,52.48,69.78,33.08,50.75,32.18,64.49,50.34,29.17,49.65
690,SYC,Seychelles,Sub-Saharan Arica,93.95,78.75,88,59.48,97.07,63.56,99.94,100,0,77.57,48.03,59.75,72.93,74.7,74.29,86.28,84.74,78.78,69.85,2.37,41.79,96.02,51.15,50.61,34.92,2.99,96.82,82.6,74.85,52.06,60.02,38.83,6.54,92.01,59.84,97.33,91.05,88.55,83.03,99.49,69.96,0,43.5,63.51,83.5,100,36.5,100,3.08,94.12,31.1,65.87,72.3,96.1,76.5,1.6,49.3,49.19,7.5,85.7,23.6,80.04,72.11,66.6,61.33,52.51,45.56,49.9,52.48,39.36,47.64,59.2,76.7,42.77,51.67,23.36,64.54,48.12,33.56,50.32
694,SLE,Sierra Leone,Sub-Saharan Arica,0,14.03,0,25.99,42.41,34.41,8.59,8.02,99.51,93.77,96.21,88.49,85.99,80.19,13.35,20.65,80.53,11.79,7.41,49.57,26.79,84.1,97.05,96.49,65.14,90.36,83.1,67.28,12.12,12.24,31.37,4.47,15.67,28.19,13.84,78.99,91.41,20.22,81.24,1.36,46.46,40.48,99.3,93.66,3.8,63.6,58.7,0,0.01,30.09,24.37,98.87,7,49.3,30.9,0,0.09,54.23,14.8,77.9,48.8,10.01,38.59,88.93,28.63,41.97,86.23,86.73,26.47,15.94,25.85,53.77,43.95,18.16,26.59,28.3,46.13,43.68,22.16,38.2
702,SGP,Singapore,East Asia and Pacific,99.39,100,99.88,99.82,92.17,100,99.99,99.72,80.25,90.52,62.33,100,95.57,62.66,99.95,100,100,69.68,99.12,1.45,67.9,79.46,21.16,21.43,31.37,89.84,95.63,0,83.71,78.95,37.75,100,56.85,77.26,0.37,9.81,91.65,22.03,84.39,99.8,41.45,0,11.9,81.86,18.4,78.88,53,100,9.51,100,0.08,100,100,100,59,100,91.43,6.62,5,86.8,45.1,99.77,94.43,82.22,74.99,61.98,24.65,92.73,27.9,68.39,22.35,47.51,66.43,36.53,78.63,27.38,76.23,54.14,28.19,55.19
703,SVK,Slovakia,Europe and Central Asia,99.76,95.07,96.53,83.74,99.32,88.74,99.98,100,46.52,68.23,9.39,90.38,79.49,59.26,88.81,85.99,97.77,76.38,81.56,1.59,54.43,96.02,7.6,39.69,30.18,94.32,93.86,90.01,84.33,52.64,68.67,60.23,31.55,5.98,2.2,7.56,39.86,7.43,86.27,98.88,39.93,36.19,30.5,95.71,26.3,68.1,100,99.99,0.5,99.6,2.6,91.51,75.2,100,100,43.7,57.64,67.83,46.2,86.4,47.3,93.77,86.91,61.35,68.14,58.4,25.82,94.09,58.12,53.27,7,58.35,78.02,34.24,66.86,35.98,68.81,55.39,32.05,53.76
704,VNM,Viet Nam,East Asia and Pacific,95.16,73.31,82.21,82.89,65.73,25.74,99.96,92.32,94.28,69.66,68.09,59.97,54.34,76.94,20.29,76.7,36.65,33.38,77.66,4.38,37.54,90.06,75.74,61.52,63.6,80.86,81.31,97.97,0.25,64.68,51.59,37.19,34.39,72.06,92.66,70.16,76.12,18.69,71.34,58.65,54.08,66.16,59,65.77,14.1,39.7,35.5,96.41,2.63,92.91,4.3,72.54,24.9,51.5,40,0.3,10.2,49.69,25,39.4,50.8,83.39,75.61,65.8,33.41,52.41,66.95,81.08,32.74,46.96,36.63,61.85,50.3,33.28,28.49,23.04,64.79,51.63,27.73,49.72
705,SVN,Slovenia,Europe and Central Asia,99.52,99.94,100,99.8,99.15,100,99.98,100,3.55,58.02,0,88.91,62.5,29.56,91.67,95.86,99.48,76.15,85.46,1.73,60.32,92.05,0,18.08,55.66,94.54,83.37,71.07,84.96,60.83,72.67,75.04,63.17,23.81,10.27,14.38,10.66,1.32,88.17,89.64,26.43,25.52,28.2,99.79,31.9,68.8,100,100,0.57,99.07,10.28,82.72,60.6,100,80,89.1,68.5,100,55.8,84,51,99.81,80.54,47.8,71.75,59.89,24.58,88.96,52.01,67.93,6.72,51.59,80.1,36.64,68.7,38.16,67.25,54.72,31.45,52.75
710,ZAF,South Africa,Sub-Saharan Arica,85.96,70.45,67.39,54.24,0,61.3,99.86,67.36,69.71,89.71,76.31,47.71,69.86,15.11,43.62,53.18,6.27,74.19,65.95,10.02,57.97,70.18,80.19,59.63,49.26,86.26,90.59,92.37,77.96,64.56,71.05,72.23,51.79,95.54,93.71,56.39,78.79,81.47,76.94,87.4,51.46,83.39,22,99.85,17.1,58.3,45.8,12.92,5.01,87.86,0.85,95.26,36.2,68.6,70.7,21.7,30.89,52.15,24.4,95.1,58.7,69.51,59.65,59.74,25.77,51.03,63.02,88.42,56.78,64.91,45.1,64.24,46.79,31.24,46.19,35.64,56.06,65.22,27.24,50.16
716,ZWE,Zimbabwe,Sub-Saharan Arica,44.92,29.21,46.98,45.33,61.22,87.35,81.47,25.87,94.5,93.99,84.48,80.57,86.3,51.42,0,0,93.79,59.35,36.68,44.21,28.38,74.16,89.69,90.03,81.01,88.67,92.85,90.4,65.54,27.54,27.91,48.69,4.22,1.56,1.62,80.63,1.74,28.65,80.47,30.21,47.11,100,73.8,92.7,20.8,47.8,39,65.32,3.15,31.04,0.94,97.55,10.2,48.2,33.7,0,2.6,51.03,54.1,91.2,58,41.61,70.08,79.35,23.45,45.86,86.91,90.76,51.98,27.09,12.69,66.32,53.12,11.71,27.46,40.66,57.35,49.76,25.18,45.42
