code,iso,country,region,total,CDI,A.1,A.2,A.3,A.4,A.5,A,B.1,B.2,B.3,B,C.1,C.2,C.3,C.4,C.5,C.6,C.7,C.8,C,D.1,D.2,D.3,D.4,D.5,D,E.1,E.2,E.3,E.4,E.5,E,F.1,F.2,F.3,F.4,F.5,F,G.1,G.2,G.3,G
478,MRT,Mauritania,Sub-Saharan Arica,34.17,32.45,43.98,20.89,20.71,31.97,33.35,30.18,56.11,47.67,27.96,45.14,0,0,24.05,0,25,0,0,25.97,10.39,44.06,29,25.66,35.58,56.44,37.19,53.36,46.69,65.43,51.27,5.17,44.38,6.24,17.36,19.01,40.62,12.29,19.1,31.71,67.65,59.57,52.45
48,BHR,Bahrain,Middle East and North Africa,42.21,40.97,34.03,44.73,20.35,49.89,39.47,37.69,72.62,47.07,28.29,51.65,12.5,0,27.25,0,50,50,30,38.5,26.2,67.47,39.29,30.81,69.87,70.31,54.17,56.14,71.25,81.13,53.58,12.74,54.97,18.38,38.18,49.17,50,25.27,36.2,22.74,40.07,35,32.28
480,MUS,Mauritius,Sub-Saharan Arica,44.73,43.5,62.92,56.16,23.08,40.26,43.29,45.14,63.03,44.59,36.36,49.5,6.25,0,37.95,0,25,25,30,57.91,25.26,65.36,34.89,80.21,44.06,54.9,55.33,56.96,64.6,76.29,50.22,20.31,53.67,26.65,30.07,22.65,37.5,26.17,28.61,24.62,75.72,65.61,54.76
484,MEX,Mexico,Latin America and The Caribbean,48.71,49.58,58.37,29.82,29.22,42.2,40.41,40,63.79,61.31,30.86,53.17,6.25,0,43.75,0,50,50,50,45.92,31.15,87.4,47.79,73.59,54.06,68.31,66.26,54.47,78.7,78.4,56.15,15.07,56.56,42.92,45.8,44.58,56.25,20.25,41.96,28.49,71.3,58.69,52.3
496,MNG,Mongolia,East Asia and Pacific,40.11,38.68,54.61,38.64,25.38,40.69,37.29,39.32,63.41,46.72,24.92,46.86,0,0,38.15,0,25,25,10,42.88,19.2,55.59,43.55,77.12,48.53,38.41,52.87,48.97,62.89,80.77,50.15,6.74,49.9,23.99,33.57,38.97,36.11,14.39,29.41,15.87,51.26,60.36,42.07
499,MNE,Montenegro,Europe and Central Asia,45.26,45.03,63.47,42.04,14.59,40.55,41.87,40.51,63.66,54.56,29.45,50.67,0,0,33.5,0,50,50,20,52.79,27.14,52.76,34.11,79.51,71.75,70.92,59.08,64.74,50.12,90.91,56.39,15.16,55.47,19.02,49.17,35.61,28.12,19.38,30.26,40.32,69.44,50.88,53.01
50,BGD,Bangladesh,South Asia,39.67,39.78,48.26,19.95,23.48,35.12,37.82,32.93,66.65,36.67,26.16,45.51,31.25,0,29.05,0,50,25,10,23.72,20.47,55.27,52.49,44.23,45.3,47.08,49.55,64.25,49.99,59.01,46.89,21.31,48.29,37.74,53.1,22.43,46.88,9.34,33.9,26.61,61.72,56.12,47.67
504,MAR,Morocco,Middle East and North Africa,45.33,45.36,59.38,40.98,21.93,37.62,41.35,40.25,68.73,43.49,31.41,49.96,6.25,0,29.5,0,50,50,50,35.81,27.58,66.56,52.19,43.32,51.32,42.17,52.24,53.62,67.94,81.36,51.13,19.96,54.8,49,57.38,37.53,62.5,21.68,45.62,14.28,71.65,58.08,47.52
508,MOZ,Mozambique,Sub-Saharan Arica,39.18,39.44,59.15,22.6,22.28,30.51,28.66,32.64,48.78,56.25,26.17,44.24,0,0,28.1,0,50,50,30,27.25,22.64,52.57,41.02,40.37,56.9,50.6,47.75,37.25,65.38,37.27,37.94,3.03,36.17,26.73,38.07,47.49,53.12,39.53,40.99,29.24,66.12,63.11,52.3
51,ARM,Armenia,Europe and Central Asia,42.9,42.06,57.23,41.72,15.3,38.42,37.86,38.11,67.52,49.79,30.06,50.96,12.5,0,41.1,0,50,25,20,45.4,25.2,68.73,30.08,77.04,58.88,40.97,54.68,54.3,66.29,77.74,53.46,8.16,51.99,12.83,46.06,25.4,53.12,15.72,30.63,22,69.71,52.83,47.7
