code,iso,country,region,total,CDI,A.1,A.2,A.3,A.4,A.5,A,B.1,B.2,B.3,B,C.1,C.2,C.3,C.4,C.5,C.6,C.7,C.8,C,D.1,D.2,D.3,D.4,D.5,D,E.1,E.2,E.3,E.4,E.5,E,F.1,F.2,F.3,F.4,F.5,F,G.1,G.2,G.3,G
752,SWE,Sweden,Europe and Central Asia,64.74,69.74,67.17,72.9,32.8,50.52,42.17,53.11,69.66,58.12,30.89,54.57,81.25,100,44.25,50,75,75,80,90.27,76.37,85.57,49.07,64.05,52.75,54.7,62.05,64.53,88.32,86.32,68.97,13.24,64.28,93.98,69.35,80.06,87.5,44.03,74.98,79.47,72.16,65.27,71.58
756,CHE,Switzerland,Europe and Central Asia,64.51,70.22,58.48,71.39,32.8,47.27,48.84,51.76,69.9,50.26,31.01,52.34,87.5,100,43.5,100,75,100,80,77.26,82.94,93.88,44.28,78.04,47.5,56.97,64.94,67.14,94.95,85.51,60.62,28.99,67.44,87.39,66.86,55.38,65.62,43.38,63.73,72.53,71.18,70.47,70.68
76,BRA,Brazil,Latin America and The Caribbean,54.56,56.58,71.73,39.44,24.63,43.75,40.2,43.95,63.38,68.1,33.95,55.97,68.75,100,38.4,50,50,50,40,47.97,55.83,84.54,51,74.51,68.85,57.12,67.36,63.95,82.95,83.76,60.25,23.67,62.92,33.06,30.69,47.63,50,22.44,36.76,53.27,71.48,50.07,57.69
762,TJK,Tajikistan,Europe and Central Asia,40.9,40.18,50.45,20.94,28.09,31.22,35.48,33.24,71.22,47.43,27.89,51.08,0,0,27.9,0,0,50,20,17.74,14.36,67.06,33.45,71.88,46.89,41.21,52.18,46,78.56,51.21,43.76,6.14,45.13,30.41,58.77,16.06,43.75,22.45,34.29,44.86,61.95,67.1,57.39
764,THA,Thailand,East Asia and Pacific,50.61,51.56,58.76,39.79,28.35,38.43,45.41,42.15,67.33,63.07,29.06,54.57,37.5,50,38.05,50,0,25,20,47.58,35.38,68.76,47,72.74,70.42,65.24,63.76,66.62,64.71,64.51,55.43,16.66,53.58,78.97,64.74,50.26,81.25,29.73,60.99,25.43,62.12,50.51,45.56
768,TGO,Togo,Sub-Saharan Arica,37.73,37.14,57.93,28.56,24.05,30.72,32.26,34.7,56.36,45.26,23.1,43.05,0,0,30.45,0,25,50,40,24.34,20.91,47.45,45.45,39.38,56.67,57.68,48.5,49.28,48.55,49.84,53.2,17.97,43.77,27.92,14.34,22.5,37.5,22.74,25,18.63,73.49,53.15,47.94
780,TTO,Trinidad and Tobago,Latin America and The Caribbean,40.27,38.47,57.11,41.79,22.3,39.98,34.57,39.15,67.29,46.12,27.23,48.92,6.25,0,21.05,0,50,50,40,47.73,27.85,64.45,21.28,44.96,41.13,64.81,45.95,58.52,56.51,77.39,51.09,9.57,50.62,14.19,13.18,28.51,31.25,24.31,22.29,19.71,50.18,65.02,44.52
784,ARE,United Arab Emirates,Middle East and North Africa,47.56,45.78,40.01,53.55,39.89,44.86,54.43,46.55,76.51,50.7,33.97,56,12.5,0,29.85,0,50,25,20,48.57,24.61,64.19,43.55,65.45,59.16,61.97,58.03,70.54,91.84,88.46,56.44,20.53,65.57,30.94,37.74,52.51,40.62,27.46,37.85,35.88,52.39,39.34,42.11
788,TUN,Tunisia,Middle East and North Africa,43.96,42.91,59.49,39.59,23.46,39.45,39.63,40.32,70.55,48.66,29.87,51.78,12.5,0,32.05,0,50,50,40,43.96,29,69.61,33.6,43.99,43.05,52.78,48.61,52.17,83.72,84.5,50.19,12.08,56.53,31.24,29.03,34.62,46.88,22.88,32.93,14.67,70.57,57.29,47.04
792,TUR,Turkey,Europe and Central Asia,48,47.89,60.71,36.01,23.65,43.36,40.24,40.8,71.5,59.62,29.12,55.22,6.25,0,42.3,0,50,50,50,41.58,30.13,70.83,46.35,76.15,52.06,47.09,58.91,62.55,68.08,93.08,46.78,8.62,55.83,52.36,38.5,48.55,59.38,19.56,43.67,29.89,69.89,56.58,51.6
795,TKM,Turkmenistan,Europe and Central Asia,39.68,38.07,47.26,18.77,25.34,41.15,35.5,33.61,67.82,44.56,38.76,52.13,0,0,11.75,0,25,25,10,11.3,10.01,68.85,41.24,76.9,52.1,37.7,55.88,60.1,61.16,75.2,51.08,11.65,51.84,11.86,51.66,23.69,34.38,23.12,28.94,12.49,57.45,64.88,44.49
8,ALB,Albania,Europe and Central Asia,44.04,44,62.06,34.93,16.43,39.37,37.39,38.04,67.75,46.04,29.79,49.85,12.5,0,37.7,0,25,50,30,45.98,26.25,85.77,34.72,72.11,44.79,54.84,58.69,63.27,79.93,88.76,47.39,11.67,58.2,19.36,40.99,22.76,25,17.99,25.22,26.25,66.79,60.51,50.67
800,UGA,Uganda,Sub-Saharan Arica,40.27,40.79,55.99,23.66,24.17,33.67,29.69,33.44,58.48,46.67,23.73,44.51,6.25,0,33.8,0,25,50,40,28.9,22.89,38.68,44.46,38.47,53.16,57.4,45.36,45.37,40.43,45.46,43.75,19.23,38.85,39.28,40.17,48.15,50,23.29,40.18,37.19,75.93,67.6,59.64
804,UKR,Ukraine,Europe and Central Asia,44.85,45.22,61.99,33.45,14.83,42.05,38.62,38.19,57.7,56.47,31.63,49.51,6.25,0,36.25,0,50,50,40,42.57,28.48,53.87,36.48,81.99,48.11,56.24,54.23,61.81,86.47,72.44,48.14,14.08,56.59,20.6,47.57,26.83,40.62,18.31,30.79,54.52,67.88,47.27,55.99
818,EGY,Egypt,Middle East and North Africa,46.67,47.87,40.78,26.18,29.05,38.47,37.85,34.47,68.58,50.46,34.82,53.02,56.25,50,37.05,50,50,50,50,29.42,45.18,70.87,51.38,69.84,51.59,59.85,60.84,54.94,72.89,77.59,48.35,7.95,52.34,30.36,43.69,38.12,46.88,3.52,32.51,17.92,66.74,56.66,46.63
826,GBR,United Kingdom,Europe and Central Asia,65.63,71.55,63.22,60.9,34.35,46.75,49.44,50.93,70.07,56.22,31.98,54.49,81.25,100,41.6,100,100,75,90,84.1,84.47,91.51,48.31,69.27,54.3,59.52,65.25,71.64,96.73,89.29,61.65,22.04,68.27,91,63.83,73.76,71.88,43.25,68.74,70.39,72.39,68.78,69.82
84,BLZ,Belize,Latin America and The Caribbean,42,40.13,57.77,37.15,20.83,38.8,36.95,38.3,69.85,53.91,30.8,53.35,18.75,0,29.4,0,50,50,30,40.31,27.5,60.86,28.69,31.57,53.42,71.81,47.54,56.87,63.54,72.36,49.51,2.75,49.01,8.66,31.58,42.07,37.5,17.05,27.37,23.57,71.39,53.65,49.04
840,USA,United States of America,North America,65.19,70.23,66.44,61.66,41.63,48.65,44.98,52.67,66.89,65.58,30.69,55.64,87.5,100,39.55,100,100,75,90,72.87,82.7,92.45,49.66,82.2,71.75,63.41,71.8,66.18,97.6,93.79,66.91,26.25,70.14,58.76,48.07,65.55,96.88,40.84,62.02,58.22,60.2,69.45,62
854,BFA,Burkina Faso,Sub-Saharan Arica,40.13,41.49,57.28,27.95,20.43,25.77,30.74,32.43,57.71,40.33,21.47,41.62,37.5,0,26.8,50,25,25,20,33,27.24,46.14,42.6,33.38,66.79,52.69,47.26,45.59,53.84,61.06,49.05,19.17,45.74,47.09,33.54,27.49,56.25,20.22,36.92,20.03,73.9,62.05,51.47
858,URY,Uruguay,Latin America and The Caribbean,47.35,46.32,65.46,64.01,19.52,44.47,41.33,46.96,64.42,54.88,32.92,52.11,6.25,0,33.4,0,25,0,20,67.18,22.73,68.51,26.76,70.15,73.65,54.09,56.94,60.33,91.33,81.4,54.21,10.67,59.59,29.13,35.27,49.68,65.62,25.72,41.09,32.27,65.7,60.01,52.13
860,UZB,Uzbekistan,Europe and Central Asia,42.36,41.44,47.51,21.27,28.08,39.1,37.26,34.64,72.91,50.39,30.75,53.51,0,0,27.45,0,50,50,30,24.57,22.03,68.43,25.86,78.58,59.1,37.24,53.31,65.91,65.56,79.35,44.71,15.23,54.15,21.31,37.43,38.44,53.12,20,34.06,12.45,59.39,60.59,43.7
887,YEM,Yemen,Middle East and North Africa,34.5,32.56,50.32,9,17.7,29.71,32.89,27.92,61.68,53.1,27.43,48.83,6.25,0,18.4,0,25,25,10,24,13.97,48.62,19.11,42.39,61.78,40.28,40.91,35.79,49.41,35.4,33.27,4.82,31.74,26.66,30,15.53,31.25,21.23,24.93,28.73,72.66,61.09,53.62
894,ZMB,Zambia,Sub-Saharan Arica,38.8,38.27,58.48,28.05,18.92,34.28,34.1,34.77,60.14,47.22,21.98,44.82,0,0,29.5,0,25,50,30,29.12,20.58,47.66,34.59,33.43,40.3,47.42,40.36,48.6,38.11,53.25,44.33,13.52,39.56,40.17,39.67,37.33,40.62,21.66,35.89,37.3,70.1,67.21,57.62
96,BRN,Brunei Darussalam,East Asia and Pacific,43.5,42.57,55.45,51.96,23.02,44.1,38.72,42.65,71.19,35.33,30.5,48.23,12.5,0,42.22,0,0,50,20,52.23,24.22,64.06,37.45,50.29,49.36,64.65,52.32,64.68,71.39,86.25,56.23,24.68,60.65,36.6,45.8,25.22,40.62,37.93,37.24,17.05,51.59,45.78,37.76
