code,iso,Rank,country,region,total,CDI-Rank,CDI,A-Rank,A,B-Rnk,B,C-Rank,C,D-Rank,D,E-Rank,E,F-Rank,F,G-Rank,G
48,BHR,97,Bahrain,Middle East and North Africa,42.21,100,40.97,96,37.69,67,51.65,91,26.2,76,54.17,64,54.97,79,36.2,144,32.28
84,BLZ,98,Belize,Latin America and The Caribbean,42,106,40.13,86,38.3,41,53.35,82,27.5,114,47.54,97,49.01,116,27.37,106,49.04
384,CIV,99,Cote d'Ivoire,Sub-Saharan Arica,41.73,88,42.68,98,37.23,134,41.94,48,32.52,55,57.67,126,41.93,109,29.63,83,51.79
12,DZA,100,Algeria,Middle East and North Africa,41.7,107,40,97,37.35,46,52.95,109,22.83,135,43.19,53,56.84,103,30.78,127,46.23
214,DOM,101,Dominican Republic,Latin America and The Caribbean,41.24,112,39.57,66,40.29,101,49.14,102,24.02,122,46.72,94,49.93,127,23.66,60,53.62
116,KHM,102,Cambodia,East Asia and Pacific,41.18,108,39.98,109,35.03,61,52,55,31.51,123,46.35,109,46.18,108,29.69,128,45.84
762,TJK,103,Tajikistan,Europe and Central Asia,40.9,105,40.18,126,33.24,74,51.08,139,14.36,90,52.18,117,45.13,89,34.29,43,57.39
626,TLS,104,Timor-Leste,East Asia and Pacific,40.81,103,40.56,94,37.74,127,44.75,125,19.94,69,55.82,123,43.18,87,34.9,96,50.48
524,NPL,105,Nepal,South Asia,40.79,102,40.65,125,33.31,108,48.38,118,21.66,126,45.81,108,46.35,70,38.31,67,52.98
690,SYC,106,Seychelles,Sub-Saharan Arica,40.52,128,37.76,51,42.49,85,50.32,123,20.18,118,47.03,78,52.76,140,19.79,109,48.5
748,SWZ,107,Eswatini,Sub-Saharan Arica,40.3,97,41.3,112,34.7,136,41.34,90,26.24,105,48.53,110,46.08,77,36.36,98,50.34
800,UGA,109,Uganda,Sub-Saharan Arica,40.27,101,40.79,124,33.44,128,44.51,108,22.89,128,45.36,135,38.85,66,40.18,30,59.64
780,TTO,108,Trinidad and Tobago,Latin America and The Caribbean,40.27,118,38.47,78,39.15,102,48.92,79,27.85,125,45.95,89,50.62,133,22.29,133,44.52
340,HND,110,Honduras,Latin America and The Caribbean,40.2,121,38.26,101,36.72,66,51.68,103,23.7,101,48.96,96,49.28,137,20.71,113,48.03
854,BFA,111,Burkina Faso,Sub-Saharan Arica,40.13,95,41.49,132,32.43,135,41.62,83,27.24,116,47.26,114,45.74,75,36.92,86,51.47
496,MNG,112,Mongolia,East Asia and Pacific,40.11,117,38.68,76,39.32,117,46.86,127,19.2,84,52.87,95,49.9,111,29.41,140,42.07
132,CPV,113,Cabo Verde,Sub-Saharan Arica,39.78,129,37.47,70,40.06,99,49.28,105,23.42,136,42.48,101,47.71,132,22.71,92,51.09
231,ETH,114,Ethiopia,Sub-Saharan Arica,39.7,109,39.97,118,33.92,130,43.95,135,14.72,121,46.74,128,41.25,49,43.54,44,57.25
795,TKM,115,Turkmenistan,Europe and Central Asia,39.68,123,38.07,122,33.61,57,52.13,144,10.01,68,55.88,87,51.84,112,28.94,135,44.49
50,BGD,116,Bangladesh,South Asia,39.67,110,39.78,129,32.93,122,45.51,122,20.47,98,49.55,99,48.29,92,33.9,117,47.67
418,LAO,117,Laos,East Asia and Pacific,39.37,125,37.97,99,37.18,116,47.36,136,14.71,108,48.17,106,46.88,93,33.77,115,47.88
