code,iso,country,region,total,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
266,GAB,Gabon,Sub-Saharan Arica,36.75,53.13,55.14,84.9,48.01,26.33,62.86,70.1,59.68,9.37,28.08,50.82,66.4,54.34,51.15,39.76,54.46,46.02,32.15,45.24
268,GEO,Georgia,Europe and Central Asia,44.52,87.62,74.91,50.24,62.64,47.13,48.3,86.33,55.79,21.48,5.39,52.14,74.37,37.64,28.48,34.32,63.65,46.41,30.75,48.61
276,DEU,Germany,Europe and Central Asia,65.4,97.94,86.88,49.91,71.9,67.68,25.42,85.54,61.78,75.72,4.36,63.65,66.56,34.69,80.96,37.62,69.93,56.78,31.22,54.37
288,GHA,Ghana,Sub-Saharan Arica,42.87,53.02,69.14,87.66,36.55,42.6,75.94,84.32,57.28,9.36,34.58,55.56,54.62,24.34,26.37,34.34,60.61,51.65,25.54,47.4
300,GRC,Greece,Europe and Central Asia,55.46,98.23,89.25,46.76,69.25,53.16,20.94,85.59,58.22,34.36,22.33,64.62,68.26,36.12,70.31,31.8,66.47,53.43,31.98,52.21
31,AZE,Azerbaijan,Europe and Central Asia,44.1,78.22,88.96,74.22,64.23,31.11,54.67,80.45,56.04,19.1,6.71,49.86,87.93,36.86,53.66,30.42,66.5,44.53,32.51,49.71
32,ARG,Argentina,Latin America and The Caribbean,49.58,83.16,70.84,62.19,60.64,49.38,46.99,94.44,65.17,73.34,44.8,67.22,62.87,35.09,46.91,28.9,63.78,70.6,31.38,56.11
324,GIN,Guinea,Sub-Saharan Arica,38.32,14.54,51.34,88.12,37.81,13.78,93.45,96.19,39.66,18.41,32.83,41.43,53.42,17.99,23.88,30.38,46.68,52.2,21.24,40.7
340,HND,Honduras,Latin America and The Caribbean,40.2,76.75,87.28,85.1,37.24,42.84,56.45,79.53,46.24,37.98,37.68,62.05,66.45,34.07,34.55,25.18,66.24,53.18,30.75,51.68
348,HUN,Hungary,Europe and Central Asia,50.65,95.03,83.39,32.99,64.96,49.1,35.51,93.33,49.61,72.31,5.65,55.83,66.21,36.45,63.29,31.28,63.09,56,29.86,50.99
352,ISL,Iceland,Europe and Central Asia,59.23,99.56,95.33,68.1,68.12,63.89,19.16,92.79,63.25,57.48,7.48,59.64,83.76,66.67,56.27,45.82,72.81,57.1,39.29,58.04
356,IND,India,South Asia,43.98,71.54,75.03,64.32,62.28,29.71,82.53,79.42,46.31,17.22,51.24,40.75,59.44,29.25,27.46,28.18,63.95,53.1,24.23,48.78
36,AUS,Australia,East Asia and Pacific,60.99,97.43,96.73,65.36,72,68.71,19.46,89.85,63.86,65.53,49.45,71.84,48.01,41.04,80.88,40.22,73.62,68.67,30.83,59.3
360,IDN,Indonesia,East Asia and Pacific,47.99,73.58,75.44,74.77,63.89,33.46,76.01,91.37,53.25,27.49,51.27,71.82,65.58,31.44,30.67,26.64,66.13,60.41,32.13,54.22
364,IRN,Iran,Middle East and North Africa,45.65,84.72,85.2,85.54,51.37,67.95,36.25,89.22,53.79,38.67,35.06,56.66,76.31,35.07,55.32,33.42,71.21,57.56,31.55,55.22
368,IRQ,Iraq,Middle East and North Africa,38.27,69.48,86.22,92.08,53.69,31.84,38.84,90.74,53.25,23.92,3.51,42.03,78.7,36.52,35.9,34.06,63.65,47.12,29.21,48.36
372,IRL,Ireland,Europe and Central Asia,59.45,98.45,87.97,67.29,72.19,66.03,14.44,94.99,55.24,58.54,4.73,60.29,72.17,35.64,67.89,37.12,71.32,55.3,31.68,54.62
376,ISR,Israel,Middle East and North Africa,51.33,98.17,79.32,76.85,73.45,60.58,22.03,71.81,55.48,49.02,20.96,48.27,76.28,39.53,75.36,28,71.3,50.55,30.63,52.87
380,ITA,Italy,Europe and Central Asia,61.1,98.99,84.01,47.53,71.14,60.11,17.59,89.28,64.56,65.19,21.58,63.36,68.16,35.13,69.06,33.92,66.76,61.33,31.52,54.56
384,CIV,Cote d'Ivoire,Sub-Saharan Arica,41.73,19.36,61.54,88.13,29.23,30.65,82.78,92.48,53.02,6.13,20.41,49.07,62.27,16.47,25.12,25.4,50.07,48.94,24.09,41.94
392,JPN,Japan,East Asia and Pacific,64.17,99.86,95.63,42.73,72.9,72.23,22.53,50.97,63.32,88.02,50.21,71.03,58.75,34.76,72.49,30.76,71.44,60.25,31.39,56.07
398,KAZ,Kazakhstan,Europe and Central Asia,45.12,90.65,81.81,63.66,47.21,48.97,44.31,95.72,55.3,40.71,16.8,44.9,57.26,33.18,51.42,33.28,65.47,55.59,25.43,50.5
