code,iso,country,region,total,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
784,ARE,United Arab Emirates,Middle East and North Africa,47.56,96.33,90.8,92.36,67.17,47.51,52.87,88.47,52.51,36.96,12.02,34.63,82.9,66.65,66.08,33.4,76.51,50.7,33.97,56
788,TUN,Tunisia,Middle East and North Africa,43.96,86.61,90.2,82.56,57.74,53.76,36.74,89.76,40.05,33.29,16.84,49.12,74.67,36,59.62,30.68,70.55,48.66,29.87,51.78
792,TUR,Turkey,Europe and Central Asia,48,90.92,81.19,77.49,67.5,53.94,46.53,89.09,62.03,49.67,28.01,54.51,66.67,33.45,59,28.44,71.5,59.62,29.12,55.22
795,TKM,Turkmenistan,Europe and Central Asia,39.68,70.09,87.98,87.05,52.84,50.6,49.15,87.44,43.72,28.57,3.66,54.43,86.96,66.62,43.18,33.24,67.82,44.56,38.76,52.13
8,ALB,Albania,Europe and Central Asia,44.04,90.37,91.56,64.28,65.13,38.64,42.14,86.91,55.13,16.74,7.06,53.96,70.79,33.79,52.22,32.06,67.75,46.04,29.79,49.85
800,UGA,Uganda,Sub-Saharan Arica,40.27,44.74,59.07,94.36,37.46,37.71,85.3,86.71,38.71,23.81,20.52,51.47,69.18,5.23,28.82,35.58,58.48,46.67,23.73,44.51
804,UKR,Ukraine,Europe and Central Asia,44.85,91.88,66.08,47.35,43.56,42.54,38.59,90.97,54.21,51.77,19.62,62.93,74.1,30.57,49.75,28.94,57.7,56.47,31.63,49.51
818,EGY,Egypt,Middle East and North Africa,46.67,78.62,89.83,83.06,50.76,42.07,57.16,83.08,52.9,26.04,24.6,40.17,81.6,66.28,46.76,36.94,68.58,50.46,34.82,53.02
826,GBR,United Kingdom,Europe and Central Asia,65.63,96.7,81.93,59.31,72.69,69.4,21.3,83.47,53.12,72.83,14.84,65.06,69.6,34.38,83.18,37.5,70.07,56.22,31.98,54.49
84,BLZ,Belize,Latin America and The Caribbean,42,80.12,89.11,82.5,57.13,49.23,50.04,88.55,53.69,35.27,24.23,56.93,58.31,47.81,24.24,38.34,69.85,53.91,30.8,53.35
840,USA,United States of America,North America,65.19,94.18,82.21,51.41,61.27,71.17,19.59,78.74,56.97,89.28,41.9,58.03,67.67,37.1,77.84,31.58,66.89,65.58,30.69,55.64
854,BFA,Burkina Faso,Sub-Saharan Arica,40.13,33.99,69.34,91.15,27.53,44.43,86.17,82.22,45.43,1.8,9.98,35.06,79.8,1.3,26.69,34.74,57.71,40.33,21.47,41.62
858,URY,Uruguay,Latin America and The Caribbean,47.35,86.56,82.52,40.31,55.4,67.05,37.34,87.59,57.87,37.47,23.69,64.16,66.59,43.37,38.98,26.16,64.42,54.88,32.92,52.11
860,UZB,Uzbekistan,Europe and Central Asia,42.36,85.37,90.05,84.12,60.63,51.03,55.87,80.19,51.83,57.59,7.88,46.58,72.02,46.1,37.2,28.56,72.91,50.39,30.75,53.51
887,YEM,Yemen,Middle East and North Africa,34.5,52.94,85.59,90.89,37.7,31.17,69.85,87.62,45.9,8.99,47.1,58.77,71.59,14.82,31.57,34.37,61.68,53.1,27.43,48.83
894,ZMB,Zambia,Sub-Saharan Arica,38.8,42.68,59.38,91.6,42.03,48.42,85.1,61.64,55.83,18.84,40.37,51.94,50.31,13.16,22.97,45.24,60.14,47.22,21.98,44.82
96,BRN,Brunei Darussalam,East Asia and Pacific,43.5,92.37,89.14,78.51,70.82,54.32,24.77,43.31,50.1,29.24,15.69,55.23,65.89,40.92,49.49,31.49,71.19,35.33,30.5,48.23
